ENTITY_CD,ENTITY_NAME,County,District Code,District Name,ACC_YEAR,ACCOUNTABILITYMEASURE,ACC_NAME
420101060000,WEST GENESEE CENTRAL SCHOOL DISTRICT,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060001,EAST HILL ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Limited English Proficient
420101060001,EAST HILL ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060003,STONEHEDGE ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060005,ONONDAGA ROAD ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,American Indian or Alaska Native
420101060005,ONONDAGA ROAD ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060006,SPLIT ROCK ELEMENTARY SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060008,WEST GENESEE MIDDLE SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420101060011,CAMILLUS MIDDLE SCHOOL,42,0101,West Genessee CSD,2015,Elementary/Middle-Level ELA,Migrant
420303060000,NORTH SYRACUSE CENTRAL SCHOOL DISTRICT,42,0303,North Syracuse CSD,2015,Elementary/Middle-Level ELA,Migrant
420303060001,ALLEN ROAD ELEMENTARY SCHOOL,42,0303,North Syracuse CSD,2015,Elementary/Middle-Level ELA,American Indian or Alaska Native
420303060001,ALLEN ROAD ELEMENTARY SCHOOL,42,0303,North Syracuse CSD,2015,Elementary/Middle-Level ELA,Black or African American
420303060001,ALLEN ROAD ELEMENTARY SCHOOL,42,0303,North Syracuse CSD,2015,Elementary/Middle-Level ELA,Migrant
420303060002,KARL W SAILE BEAR ROAD ELEMENTARY SCHOOL,42,0303,North Syracuse CSD,2015,Elementary/Middle-Level ELA,Migrant
