name	month	Gender	Ethnicity	IEP	satisfactory	mildly.chronic	moderately.chronic	chronic
Bellevue Elementary School	1	Female	Black	No	48	21	24	14
Bellevue Elementary School	1	Female	Black	Yes	9	7	2	3
Bellevue Elementary School	1	Female	Hispanic	No	16	9	3	6
Bellevue Elementary School	1	Female	Hispanic	Yes	5	1	0	1
Bellevue Elementary School	1	Female	Other	No	11	5	4	7
Bellevue Elementary School	1	Female	Other	Yes	2	2	2	0
Bellevue Elementary School	1	Female	White	No	7	11	2	3
Bellevue Elementary School	1	Female	White	Yes	7	1	2	0
Bellevue Elementary School	1	Male	Black	No	52	19	17	19
Bellevue Elementary School	1	Male	Black	Yes	24	7	11	7
Bellevue Elementary School	1	Male	Hispanic	No	6	3	7	2
Bellevue Elementary School	1	Male	Hispanic	Yes	2	2	6	3
Bellevue Elementary School	1	Male	Other	No	5	7	4	2
Bellevue Elementary School	1	Male	Other	Yes	3	2	2	2
Bellevue Elementary School	1	Male	White	No	7	5	6	7
Bellevue Elementary School	1	Male	White	Yes	2	4	2	4
Bellevue Elementary School	2	Female	Black	No	61	17	15	17
Bellevue Elementary School	2	Female	Black	Yes	13	3	2	2
Bellevue Elementary School	2	Female	Hispanic	No	23	2	2	9
Bellevue Elementary School	2	Female	Hispanic	Yes	6	0	1	1
Bellevue Elementary School	2	Female	Other	No	13	3	7	3
Bellevue Elementary School	2	Female	Other	Yes	4	0	2	0
Bellevue Elementary School	2	Female	White	No	16	6	0	4
Bellevue Elementary School	2	Female	White	Yes	8	3	0	0
Bellevue Elementary School	2	Male	Black	No	59	16	24	15
Bellevue Elementary School	2	Male	Black	Yes	21	8	9	8
Bellevue Elementary School	2	Male	Hispanic	No	9	4	3	2
Bellevue Elementary School	2	Male	Hispanic	Yes	6	5	3	0
Bellevue Elementary School	2	Male	Other	No	8	4	7	0
Bellevue Elementary School	2	Male	Other	Yes	6	0	1	2
Bellevue Elementary School	2	Male	White	No	12	3	5	5
Bellevue Elementary School	2	Male	White	Yes	6	0	3	3
Bellevue Elementary School	3	Female	Black	No	26	24	32	24
Bellevue Elementary School	3	Female	Black	Yes	8	8	4	0
Bellevue Elementary School	3	Female	Hispanic	No	6	11	10	8
Bellevue Elementary School	3	Female	Hispanic	Yes	1	1	4	2
Bellevue Elementary School	3	Female	Other	No	4	6	8	8
Bellevue Elementary School	3	Female	Other	Yes	1	1	3	1
Bellevue Elementary School	3	Female	White	No	6	7	5	8
Bellevue Elementary School	3	Female	White	Yes	3	3	2	3
Bellevue Elementary School	3	Male	Black	No	32	18	33	29
Bellevue Elementary School	3	Male	Black	Yes	9	9	18	11
Bellevue Elementary School	3	Male	Hispanic	No	4	3	7	5
Bellevue Elementary School	3	Male	Hispanic	Yes	3	2	4	4
Bellevue Elementary School	3	Male	Other	No	3	4	9	3
Bellevue Elementary School	3	Male	Other	Yes	2	2	3	2
Bellevue Elementary School	3	Male	White	No	5	5	9	5
Bellevue Elementary School	3	Male	White	Yes	5	1	2	5
Bellevue Elementary School	4	Female	Black	No	34	28	23	22
Bellevue Elementary School	4	Female	Black	Yes	11	2	6	1
Bellevue Elementary School	4	Female	Hispanic	No	11	7	12	5
Bellevue Elementary School	4	Female	Hispanic	Yes	2	3	2	1
Bellevue Elementary School	4	Female	Other	No	9	7	4	7
Bellevue Elementary School	4	Female	Other	Yes	1	2	3	0
Bellevue Elementary School	4	Female	White	No	9	8	7	1
Bellevue Elementary School	4	Female	White	Yes	3	5	1	2
Bellevue Elementary School	4	Male	Black	No	37	24	20	30
Bellevue Elementary School	4	Male	Black	Yes	13	6	15	12
Bellevue Elementary School	4	Male	Hispanic	No	3	4	3	9
Bellevue Elementary School	4	Male	Hispanic	Yes	3	2	4	4
Bellevue Elementary School	4	Male	Other	No	4	4	5	6
Bellevue Elementary School	4	Male	Other	Yes	2	3	1	3
Bellevue Elementary School	4	Male	White	No	6	7	5	6
Bellevue Elementary School	4	Male	White	Yes	4	4	1	4
Bellevue Elementary School	5	Female	Black	No	32	31	22	21
Bellevue Elementary School	5	Female	Black	Yes	12	5	2	1
Bellevue Elementary School	5	Female	Hispanic	No	14	6	7	8
Bellevue Elementary School	5	Female	Hispanic	Yes	2	2	2	2
Bellevue Elementary School	5	Female	Other	No	10	5	6	6
Bellevue Elementary School	5	Female	Other	Yes	1	2	2	1
Bellevue Elementary School	5	Female	White	No	12	6	4	3
Bellevue Elementary School	5	Female	White	Yes	5	2	3	1
