School,Type,District,BEDS,num.outlets,outletsOver15,oos,lon,lat,cleanDist
East Hill Elementary School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,97,96,Yes,-76.2815709,43.0353022,West Genesee @ Camillus
Stonehedge Elementary School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,184,183,Yes,-76.2700146,43.0458273,West Genesee @ Camillus
Onondaga Road Elementary School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,91,90,Yes,-76.232148,43.040656,West Genesee @ Camillus
Split Rock Elementary School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,91,86,Yes,-76.226134,43.023131,West Genesee @ Camillus
West Genesee Middle School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,110,92,Yes,-76.2712862,43.0443695,West Genesee @ Camillus
West Genesee Senior High School,High School,West Genesee @ Camillus,4.20101E+11,175,173,Yes,-76.2658835,43.0398833,West Genesee @ Camillus
Camillus Middle School,Elementary/Middle,West Genesee @ Camillus,4.20101E+11,191,105,Yes,-76.3371105,43.0407053,West Genesee @ Camillus
Allen Road Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,123,34,No,-76.1570509,43.132729,North Syracuse CSD
Karl W Saile Bear Road Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,123,143,Yes,-76.1318769,43.1437913,North Syracuse CSD
Cicero Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,138,138,No,-76.1063855,43.1769779,North Syracuse CSD
Lakeshore Road Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,127,100,Yes,-76.0281303,43.1877708,North Syracuse CSD
Roxboro Road Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,117,117,No,-76.149664,43.1011373,North Syracuse CSD
Smith Road Elementary School,Elementary/Middle,North Syracuse CSD,4.20303E+11,131,127,Yes,-76.1052261,43.1365752,North Syracuse CSD
Gillette Road Middle School,Elementary/Middle,North Syracuse CSD,4.20303E+11,111,109,Yes,-76.0964496,43.1601774,North Syracuse CSD
North Syracuse Junior High School,Elementary/Middle,North Syracuse CSD,4.20303E+11,165,136,Yes,-76.1437539,43.1226968,North Syracuse CSD
Roxboro Road Middle School,Elementary/Middle,North Syracuse CSD,4.20303E+11,100,96,Yes,-76.1494854,43.1011143,North Syracuse CSD
Cicero-north Syracuse High School,High School,North Syracuse CSD,4.20303E+11,211,186,Yes,-76.1040179,43.1743208,North Syracuse CSD
Fremont Elementary School,Elementary/Middle,East Syracuse-Minoa CSD,4.20401E+11,79,79,No,-76.034633,43.066578,East Syracuse-Minoa CSD
East Syracuse Elementary School,Elementary/Middle,East Syracuse-Minoa CSD,4.20401E+11,92,37,No,-76.0757202,43.0689623,East Syracuse-Minoa CSD
Woodland Elementary School,Elementary/Middle,East Syracuse-Minoa CSD,4.20401E+11,74,74,No,-76.0226897,43.0760216,East Syracuse-Minoa CSD
East Syracuse-minoa Central High School,High School,East Syracuse-Minoa CSD,4.20401E+11,228,183,Yes,-76.0270599,43.0820748,East Syracuse-Minoa CSD
Minoa Elementary School,Elementary/Middle,East Syracuse-Minoa CSD,4.20401E+11,88,82,Yes,-76.003353,43.080615,East Syracuse-Minoa CSD
Pine Grove Middle School,Elementary/Middle,East Syracuse-Minoa CSD,4.20401E+11,128,122,Yes,-76.0009919,43.080698,East Syracuse-Minoa CSD
Jamesville Elementary School,Elementary/Middle,Jamesville-DeWitt CSD,4.20411E+11,99,96,Yes,-76.0742875,42.9916187,Jamesville-DeWitt CSD
Moses Dewitt Elementary School,Elementary/Middle,Jamesville-DeWitt CSD,4.20411E+11,52,49,Yes,-76.0725717,43.0248249,Jamesville-DeWitt CSD
Tecumseh Elementary School,Elementary/Middle,Jamesville-DeWitt CSD,4.20411E+11,93,92,Yes,-76.0956746,43.0142028,Jamesville-DeWitt CSD
Jamesville-dewitt Middle School,Elementary/Middle,Jamesville-DeWitt CSD,4.20411E+11,177,175,Yes,-76.0869762,43.0312167,Jamesville-DeWitt CSD
Jamesville-dewitt High School,High School,Jamesville-DeWitt CSD,4.20411E+11,137,128,Yes,-76.0489313,43.0166244,Jamesville-DeWitt CSD
Elbridge Elementary School,Elementary/Middle,Jordan Elbridge CSD,4.20501E+11,115,37,Yes,-76.442614,43.034025,Jordan Elbridge CSD
