"","Active.Date","COUNTY","SED.CODE","LEGAL.NAME","INSTITUTION.TYPE.CODE","INSTITUTION.TYPE.DESCRIPTION","INSTITUTION.SUB.TYPE.CODE","INSTITUTION.SUB.TYPE.DESCRIPTION","NEEDS.RESOURCE.CODE","NEEDS.RESOURCE.DESCRIPTION","GRADE.ORGANIZATION.CODE","GRADE.ORGANIZATION.DESCRIPTION","COMMUNITY.TYPE.CODE","COMMUNITY.TYPE.DESCRIPTION","MAILING.ADDRESS","MAIL.CITY","STATE","ZIP","SALUTATION","CEO.FIRST.NAME","CEO.LAST.NAME","CEO.PHONE","CEO.EMAIL","lon","lat"
"2","7/1/1980","CAYUGA",50100010004,"GENESEE STREET ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"244 GENESEE ST","AUBURN","NY",13021,"MS.","STACEY","CUMMINGS",3152558644,"stacey_cummings@auburn.cnyric.org",-76.5794359,42.9241808
"3","7/1/1980","CAYUGA",50100010005,"HERMAN AVENUE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"2 N HERMAN AVE","AUBURN","NY",13021,"MS.","CYNTHIA","LATTIMORE",3152558684,"cynthia_lattimore@auburn.cnyric.org",-76.5431333,42.9353976
"5","7/1/1980","CAYUGA",50100010008,"WILLIAM H SEWARD ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",1,"PUBLIC SCHOOL CITY",3,"URBAN/SUBURBAN/HIGH NEEDS",1,"Elementary",74,74,"52 METCALF DR","AUBURN","NY",13021,"MR.","ROBERT","MONTGOMERY",3152558604,"robert_montgomery@auburn.cnyric.org",-76.5579084,42.9155773
"8","7/1/1980","CAYUGA",50301040002,"WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"PO BOX 3000","WEEDSPORT","NY",13166,"MR.","BRETT","FINGLAND",3158346652,"finglandb@weedsport.org",-76.5536248,43.0490448
"9","7/1/1980","CAYUGA",50301040003,"WEEDSPORT ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"PO BOX 3000","WEEDSPORT","NY",13166,"MS.","MELINDA","ERVAY",3158346685,"ervaym@weedsport.org",-76.5577799,43.0509753
"10","7/1/1980","CAYUGA",50401040001,"CATO-MERIDIAN ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"PO BOX 100","CATO","NY",13033,"MR.","ROBERT","WREN",3156263320,"rwren@cm.cnyric.org",-76.5507173,43.1744401
"14","7/1/1990","CAYUGA",50701040007,"SOUTHERN CAYUGA ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"2384 RT 34B","AURORA","NY",13026,"MR.","CHRISTOPHER","CLAPPER",3153647098,"clapperc@southerncayuga.org",-76.618396,42.757002
"15","7/1/1980","CAYUGA",51101040001,"A A GATES ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"30 MAPLE AVE","PORT BYRON","NY",13140,"MS.","JULIE","PODOLAK",3157765728,"jpodolak@pbcschools.org",-76.618423,43.041503
"16","7/1/1980","CAYUGA",51101040004,"PORT BYRON SENIOR HIGH SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",4,"Junior Senior School",77,77,"30 MAPLE AVE","PORT BYRON","NY",13140,"MR.","MICHAEL","JORGENSEN",3157765728,"mjorgensen@pbcschools.org",-76.6171725,43.0415427
"17","7/1/1980","CAYUGA",51301040001,"MILLARD FILLMORE ELEMENTARY SCHOOL",17,"PUBLIC SCHOOLS",4,"PUBLIC SCHOOL CENTRAL",5,"AVERAGE NEEDS",1,"Elementary",77,77,"PO BOX 1188","MORAVIA","NY",13118,"MS.","JULIE","PODOLAK",3154972670,"jpodolak@moraviaschool.org",-76.416891,42.703935
