"","School.x","BEDS","District","County","num.outlets","pbfreeBuildings","samplingComplete","completionDate","outletsOver15","outletsUnder15","oos","street","city","state","address","School.y","short"
"1","EAST HILL ELEM SCHOOL",420101060001,"WEST GENESEE CSD AT CAMILLUS","Onondaga",97,"No","Yes","9/19/2016",96,1,"Yes","401 BLACKMORE RD","CAMILLUS","NY","401 BLACKMORE RD, CAMILLUS, NY","East Hill Elementary School","Elementary/Middle"
"2","STONEHEDGE SCHOOL",420101060003,"WEST GENESEE CSD AT CAMILLUS","Onondaga",184,"No","Yes","9/21/2016",183,1,"Yes","400 SANDERSON DR","CAMILLUS","NY","400 SANDERSON DR, CAMILLUS, NY","Stonehedge Elementary School","Elementary/Middle"
"3","ONONDAGA ROAD ELEM SCHOOL",420101060005,"WEST GENESEE CSD AT CAMILLUS","Onondaga",91,"No","Yes","9/26/2016",90,1,"Yes","703 ONONDAGA RD","SYRACUSE","NY","703 ONONDAGA RD, SYRACUSE, NY","Onondaga Road Elementary School","Elementary/Middle"
"4","SPLIT ROCK ELEM SCHOOL",420101060006,"WEST GENESEE CSD AT CAMILLUS","Onondaga",91,"No","Yes","9/26/2016",86,5,"Yes","4151 SPLIT ROCK RD","CAMILLUS","NY","4151 SPLIT ROCK RD, CAMILLUS, NY","Split Rock Elementary School","Elementary/Middle"
"5","WEST GENESEE MIDDLE SCHOOL",420101060008,"WEST GENESEE CSD AT CAMILLUS","Onondaga",110,"No","Yes","10/21/2016",92,18,"Yes","500 SANDERSON RD","CAMILLUS","NY","500 SANDERSON RD, CAMILLUS, NY","West Genesee Middle School","Elementary/Middle"
"6","WEST GENESEE S H S",420101060009,"WEST GENESEE CSD AT CAMILLUS","Onondaga",175,"No","Yes","10/27/2016",173,2,"Yes","5201 W GENESEE ST","CAMILLUS","NY","5201 W GENESEE ST, CAMILLUS, NY","West Genesee Senior High School","High School"
"7","CAMILLUS MIDDLE SCHOOL",420101060011,"WEST GENESEE CSD AT CAMILLUS","Onondaga",191,"No","Yes","10/28/2016",105,86,"Yes","5525 IKE DIXON RD","CAMILLUS","NY","5525 IKE DIXON RD, CAMILLUS, NY","Camillus Middle School","Elementary/Middle"
"8","ALLEN ROAD ELEM SCHOOL",420303060001,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",123,"No","Yes","9/23/2016",34,0,"No","803 ALLEN RD","NO SYRACUSE","NY","803 ALLEN RD, NO SYRACUSE, NY","Allen Road Elementary School","Elementary/Middle"
"9","BEAR ROAD ELEM SCHOOL",420303060002,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",123,"No","Yes","9/27/2016",143,6,"Yes","5590 BEAR RD","NO SYRACUSE","NY","5590 BEAR RD, NO SYRACUSE, NY","Karl W Saile Bear Road Elementary School","Elementary/Middle"
"10","CICERO ELEM SCHOOL",420303060003,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",138,"No","Yes","9/28/2016",138,0,"No","5979 RT 31","CICERO","NY","5979 RT 31, CICERO, NY","Cicero Elementary School","Elementary/Middle"
"11","LAKESHORE ROAD ELEMENTARY SCHOOL",420303060004,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",127,"No","Yes","9/28/2016",100,27,"Yes","7180 LAKESHORE RD","CICERO","NY","7180 LAKESHORE RD, CICERO, NY","Lakeshore Road Elementary School","Elementary/Middle"
"12","ROXBORO ROAD ELEM SCHOOL",420303060007,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",117,"No","Yes","9/23/2016",117,0,"No","200 BERNARD ST","MATTYDALE","NY","200 BERNARD ST, MATTYDALE, NY","Roxboro Road Elementary School","Elementary/Middle"
"13","SMITH ROAD ELEM SCHOOL",420303060008,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",131,"No","Yes","9/22/2016",127,5,"Yes","5959 SMITH RD","NO SYRACUSE","NY","5959 SMITH RD, NO SYRACUSE, NY","Smith Road Elementary School","Elementary/Middle"
"14","GILLETTE ROAD MIDDLE SCHOOL",420303060009,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",111,"No","Yes","9/27/2016",109,2,"Yes","6150 S BAY RD","CICERO","NY","6150 S BAY RD, CICERO, NY","Gillette Road Middle School","Elementary/Middle"
"15","NORTH SYRACUSE JHS",420303060010,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",165,"No","Yes","10/20/2016",136,25,"Yes","5353 W TAFT RD","NO SYRACUSE","NY","5353 W TAFT RD, NO SYRACUSE, NY","North Syracuse Junior High School","Elementary/Middle"
"16","ROXBORO ROAD MIDDLE SCHOOL",420303060011,"NORTH SYRACUSE CENTRAL SCHOOL","Onondaga",100,"No","Yes","9/28/2016",96,4,"Yes","300 BERNARD ST","MATTYDALE","NY","300 BERNARD ST, MATTYDALE, NY","Roxboro Road Middle School","Elementary/Middle"
