District,School,num.outlets,outletsUnder15,outletsOver15,oos,BEDS,School Street ,School City,School State,percent.bad
EAST SYRACUSE-MINOA CENTRAL SCHOOL,PINE GROVE MIDDLE SCHOOL,128,122,6,Yes,420401060010,600 N. Main St.,Minoa,NY,4.7
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - ALTERNATIVE HIGH SCHOOL AT HENRY,17,17,0,Yes,429000000014,6820 THOMPSON RD,SYRACUSE,NY,0.0
EAST SYRACUSE-MINOA CENTRAL SCHOOL,E SYRACUSE MINOA CENTRAL H S,164,183,45,Yes,420401060005,6400 FREMONT RD,E SYRACUSE,NY,27.4
EAST SYRACUSE-MINOA CENTRAL SCHOOL,FREMONT ELEM SCHOOL,49,79,0,No,420401060002,115 RICHMOND RD W,E SYRACUSE,NY,0.0
EAST SYRACUSE-MINOA CENTRAL SCHOOL,MINOA ELEM SCHOOL,54,82,6,Yes,420401060009,501 MAIN ST,MINOA,NY,11.1
BALDWINSVILLE CENTRAL SCHOOL,L PEARL PALMER ELEM SCHOOL,53,53,0,No,420901060004,HICKS RD,BALDWINSVILLE,NY,0.0
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - HENRY CAREER & TECH EDUC BLDG,34,60,1,Yes,429000000008,6820 THOMPSON RD,SYRACUSE,NY,2.9
FABIUS-POMPEY CENTRAL SCHOOL,FABIUS JSHS,73,61,12,Yes,420601040003,MILL ST,FABIUS,NY,16.4
FAYVILL-MANLIUS CENT SCH,EAGLE HILL MIDDLE SCHOOL,66,84,17,Yes,421001060005,4645 ENDERS RD,MANLIUS,NY,25.8
FAYVILL-MANLIUS CENT SCH,FAYETTEVILLE ELEM SCHOOL,23,93,0,Yes,421001060001,704 S. MANLIUS ST,FAYETTEVILLE,NY,0.0
BALDWINSVILLE CENTRAL SCHOOL,MAE E REYNOLDS SCHOOL,31,31,3,Yes,420901060008,IDLEWOOD BLVD,BALDWINSVILLE,NY,9.7
BALDWINSVILLE CENTRAL SCHOOL,DONALD S. RAY MIDDLE SCHOOL,24,23,1,Yes,420901060009,7650 VAN BUREN RD,BALDWINSVILLE,NY,4.2
FAYVILL-MANLIUS CENT SCH,MOTT ROAD ELEM SCHOOL,32,103,5,Yes,421001060007,7173 MOTT RD,FAYETTVILLE,NY,15.6
BALDWINSVILLE CENTRAL SCHOOL,THEODORE R DURGEE J H S,50,48,2,Yes,420901060006,29 E ONEIDA ST,BALDWINSVILLE,NY,4.0
FAYVILL-MANLIUS CENT SCH,ENDERS ROAD ELEM SCHOOL,23,101,0,Yes,421001060008,4725 ENDERS RD,MANLIUS,NY,0.0
BALDWINSVILLE CENTRAL SCHOOL,VAN BUREN SCHOOL,49,33,16,Yes,420901060005,FORD ST,BALDWINSVILLE,NY,32.7
BOCES No District Name,ONONDAGA-CORTLAND-MADISON BOCES - CROWN ROAD CAMPUS,38,62,1,Yes,429000008003,4500 CROWN RD,LIVERPOOL,NY,2.6
BALDWINSVILLE CENTRAL SCHOOL,CHARLES W BAKER H S,69,69,0,Yes,420901060007,OSWEGO ST,BALDWINSVILLE,NY,0.0
EAST SYRACUSE-MINOA CENTRAL SCHOOL,EAST SYRACUSE ELEMENTARY,55,37,0,No,420401060003,230 KINNE ST,E SYRACUSE,NY,0.0
FABIUS-POMPEY CENTRAL SCHOOL,FABIUS-POMPEY ELEMENTARY SCHOOL,76,74,19,Yes,420601040001,7800 MAIN ST.,FABIUS,NY,25.0
FAYVILL-MANLIUS CENT SCH,FAYETTEVILLE MANLIUS S H S,102,177,23,Yes,421001060002,8201 E. SENECA TPK.,MANLIUS,NY,22.5
BALDWINSVILLE CENTRAL SCHOOL,CATHERINE M MCNAMARA ELEM SCH,46,46,0,No,420901060003,OBRIEN RD,BALDWINSVILLE,NY,0.0
BALDWINSVILLE CENTRAL SCHOOL,HARRY E ELDEN ELEM SCHOOL,51,44,7,Yes,420901060002,OSWEGO ST,BALDWINSVILLE,NY,13.7
FAYVILL-MANLIUS CENT SCH,WELLWOOD MIDDLE SCHOOL,47,138,10,Yes,421001060006,700 SOUTH MANLIUS ST,FAYETTEVILLE,NY,21.3
EAST SYRACUSE-MINOA CENTRAL SCHOOL,WOODLAND ELEM SCHOOL,49,74,0,No,420401060004,6316 FREMONT RD,EAST SYRACUSE,NY,0.0
EAST SYRACUSE-MINOA CENTRAL SCHOOL,PARK HILL SCHOOL,30,37,6,Yes,420401060001,303 ROBY AVE,EAST SYRACUSE,NY,20.0
JORDAN ELBRIDGE CENTRAL SCHOOL,JORDAN ELBRIDGE HIGH SCHOOL,0,29,3,Yes,420501060003,5721 Hamilton Rd,Jordan,NY,#DIV/0!
ONONDAGA CENTRAL SCHOOL,ONONDAGA H S,65,64,0,Yes,421201040003,4479 S ONONDAGA RD,NEDROW,NY,0.0
LA FAYETTE CENTRAL SCHOOL,LA FAYETTE S H S,170,111,10,Yes,420807040003,RT 11 N,LAFAYETTE,NY,5.9
LIVERPOOL CENTRAL SCHOOL,SOULE ROAD ELEMENTARY,15,15,0,No,421501060013,8338 SOULE RD,LIVERPOOL,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,ROXBORO ROAD MIDDLE SCHOOL,59,96,4,Yes,420303060011,300 BERNARD ST,MATTYDALE,NY,6.8
LA FAYETTE CENTRAL SCHOOL,C GRANT GRIMSHAW SCHOOL,92,92,0,Yes,420807040004,RT 20 W,LAFAYETTE,NY,0.0
ONONDAGA CENTRAL SCHOOL,WHEELER MIDDLE SCHOOL,37,70,3,Yes,421201040002,4543 S ONONDAGA RD,NEDROW,NY,8.1
JORDAN ELBRIDGE CENTRAL SCHOOL,ELBRIDGE ELEM SCHOOL,78,37,0,Yes,420501060001,130 E  MAIN ST,ELBRIDGE,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,GILLETTE ROAD MIDDLE SCHOOL,39,109,2,Yes,420303060009,6150 S BAY RD,CICERO,NY,5.1
ONONDAGA CENTRAL SCHOOL,ROCKWELL ELEM SCHOOL,28,65,1,Yes,421201040001,208 ROCKWELL RD,NEDROW,NY,3.6
JAMESVILLE-DEWITT CENTRAL SCHOOL,MOSES DEWITT ELEM SCHOOL,52,49,3,Yes,420411060003,JAMESVILLE RD,DEWITT,NY,5.8
LIVERPOOL CENTRAL SCHOOL,ELMCREST ELEM SCHOOL,66,52,14,Yes,421501060004,350 WOODS PATH RD,LIVERPOOL,NY,21.2
NORTH SYRACUSE CENTRAL SCHOOL,ROXBORO ROAD ELEM SCHOOL,73,117,0,No,420303060007,200 BERNARD ST,MATTYDALE,NY,0.0
NORTH SYRACUSE CENTRAL SCHOOL,CICERO-NO SYRACUSE H S,163,186,75,Yes,420303060014,6002 RT 31,CICERO,NY,46.0
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL HIGH SCHOOL,166,118,48,Yes,421501060011,4338 WETZEL RD,LIVERPOOL,NY,28.9
JAMESVILLE-DEWITT CENTRAL SCHOOL,JAMESVILLE-DEWITT H S,137,128,6,Yes,420411060006,EDINGER DR,DEWITT,NY,4.4
JAMESVILLE-DEWITT CENTRAL SCHOOL,TECUMSEH ELEMENTARY SCHOOL,93,92,1,Yes,420411060004,NOTTINGHAM RD,JAMESVILLE,NY,1.1
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL ELEMENTARY SCHOOL,40,40,0,No,421501060010,910 SECOND ST.,LIVERPOOL,NY,0.0
LIVERPOOL CENTRAL SCHOOL,MORGAN ROAD ELEMENTARY,22,22,0,No,421501060012,7795 MORGAN ROAD,LIVERPOOL,NY,0.0
