School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,"All Results Received	",Date All Results Received,"School Website	",BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
WEST GENESEE CSD AT CAMILLUS,EAST HILL ELEM SCHOOL,Onondaga,Public School,97,No,5,0,0,92,Yes,9/19/2016,96,1,Yes,Yes,12/9/2016,http://www.westgenesee.org,420101060001.00,401 BLACKMORE RD,CAMILLUS,NY,13031,12/1/2016,12/12/2016,"(43.065629, -76.168033)","401 BLACKMORE RD
CAMILLUS, NY 13031
(43.03430173400005, -76.28478937299997)"
WEST GENESEE CSD AT CAMILLUS,STONEHEDGE SCHOOL,Onondaga,Public School,184,No,12,0,0,172,Yes,9/21/2016,183,1,Yes,Yes,1/11/2017,http://www.westgenesee.org,420101060003.00,400 SANDERSON DR,CAMILLUS,NY,13031,11/10/2016,1/18/2017,"(43.065629, -76.168033)","400 SANDERSON DR
CAMILLUS, NY 13031
(43.045826532000035, -76.27052207499997)"
WEST GENESEE CSD AT CAMILLUS,ONONDAGA ROAD ELEM SCHOOL,Onondaga,Public School,91,No,5,0,0,86,Yes,9/26/2016,90,1,Yes,Yes,12/9/2016,http://www.westgenesee.org,420101060005.00,703 ONONDAGA RD,SYRACUSE,NY,13219,11/10/2016,12/12/2016,"(43.065629, -76.168033)","703 ONONDAGA RD
SYRACUSE, NY 13219
(43.04047906300008, -76.23410380799999)"
WEST GENESEE CSD AT CAMILLUS,SPLIT ROCK ELEM SCHOOL,Onondaga,Public School,91,No,6,0,0,85,Yes,9/26/2016,86,5,Yes,Yes,1/11/2017,http://www.westgenesee.org,420101060006.00,4151 SPLIT ROCK RD,CAMILLUS,NY,13031,11/10/2016,1/18/2017,"(43.065629, -76.168033)","4151 SPLIT ROCK RD
CAMILLUS, NY 13031
(43.02178739900006, -76.22667119899995)"
WEST GENESEE CSD AT CAMILLUS,WEST GENESEE MIDDLE SCHOOL,Onondaga,Public School,110,No,8,0,0,102,Yes,10/21/2016,92,18,Yes,Yes,1/24/2017,http://www.westgenesee.org,420101060008.00,500 SANDERSON RD,CAMILLUS,NY,13031,1/24/2017,1/24/2017,"(43.065629, -76.168033)","500 SANDERSON RD
CAMILLUS, NY 13031
(43.045834581000065, -76.27039973699993)"
WEST GENESEE CSD AT CAMILLUS,WEST GENESEE S H S,Onondaga,Public School,175,No,15,0,0,160,Yes,10/27/2016,173,2,Yes,Yes,1/11/2017,http://www.westgenesee.org,420101060009.00,5201 W GENESEE ST,CAMILLUS,NY,13031,11/10/2016,1/18/2017,"(43.065629, -76.168033)","5201 W GENESEE ST
CAMILLUS, NY 13031
(43.04133223400004, -76.26686929199997)"
WEST GENESEE CSD AT CAMILLUS,CAMILLUS MIDDLE SCHOOL,Onondaga,Public School,191,No,8,0,0,183,Yes,10/28/2016,105,86,Yes,Yes,1/11/2017,http://www.westgenesee.org,420101060011.00,5525 IKE DIXON RD,CAMILLUS,NY,13031,1/18/2017,1/18/2017,"(43.065629, -76.168033)","5525 IKE DIXON RD
CAMILLUS, NY 13031
(43.04325769500008, -76.33642368199997)"
NORTH SYRACUSE CENTRAL SCHOOL,ALLEN ROAD ELEM SCHOOL,Onondaga,Public School,123,No,68,0,0,55,Yes,9/23/2016,34,0,No,Yes,4/8/2016,http://nscsd.org,420303060001.00,803 ALLEN RD,NO SYRACUSE,NY,13212,10/28/2016,10/31/2016,"(43.065629, -76.168033)","803 ALLEN RD
NO SYRACUSE, NY 13212
(43.13246648100005, -76.15623683099994)"
NORTH SYRACUSE CENTRAL SCHOOL,BEAR ROAD ELEM SCHOOL,Onondaga,Public School,123,No,44,0,0,79,Yes,9/27/2016,143,6,Yes,Yes,11/17/2016,http://nscsd.org,420303060002.00,5590 BEAR RD,NO SYRACUSE,NY,13212,10/31/2016,11/17/2016,"(43.065629, -76.168033)","5590 BEAR RD
NO SYRACUSE, NY 13212
(43.14471274400006, -76.13176645099998)"
NORTH SYRACUSE CENTRAL SCHOOL,CICERO ELEM SCHOOL,Onondaga,Public School,138,No,44,0,0,94,Yes,9/28/2016,138,0,No,Yes,12/2/2016,http://nscsd.org,420303060003.00,5979 RT 31,CICERO,NY,13039,10/31/2016,12/5/2016,"(43.065629, -76.168033)","5979 RT
CICERO, NY 13039
(43.158592277000025, -76.10027955299995)"
NORTH SYRACUSE CENTRAL SCHOOL,LAKESHORE ROAD ELEMENTARY SCHOOL,Onondaga,Public School,127,No,38,0,0,82,Yes,9/28/2016,100,27,Yes,Yes,11/15/2016,http://nscsd.org,420303060004.00,7180 LAKESHORE RD,CICERO,NY,13039,10/31/2016,11/15/2016,"(43.065629, -76.168033)","7180 LAKESHORE RD
CICERO, NY 13039
(43.189261773000055, -76.02743369899997)"
NORTH SYRACUSE CENTRAL SCHOOL,ROXBORO ROAD ELEM SCHOOL,Onondaga,Public School,117,No,44,0,0,73,Yes,9/23/2016,117,0,No,Yes,11/2/2016,http://nscsd.org,420303060007.00,200 BERNARD ST,MATTYDALE,NY,13211,10/31/2016,11/4/2016,"(43.065629, -76.168033)","200 BERNARD ST
MATTYDALE, NY 13211
(43.100536230000046, -76.14760128499995)"
NORTH SYRACUSE CENTRAL SCHOOL,SMITH ROAD ELEM SCHOOL,Onondaga,Public School,131,No,48,0,0,83,Yes,9/22/2016,127,5,Yes,Yes,12/16/2016,http://nscsd.org,420303060008.00,5959 SMITH RD,NO SYRACUSE,NY,13212,10/31/2016,12/19/2016,"(43.065629, -76.168033)","5959 SMITH RD
NO SYRACUSE, NY 13212
(43.13510628000006, -76.10754761299995)"
NORTH SYRACUSE CENTRAL SCHOOL,GILLETTE ROAD MIDDLE SCHOOL,Onondaga,Public School,111,No,39,0,0,39,Yes,9/27/2016,109,2,Yes,Yes,1/5/2017,http://nscsd.org,420303060009.00,6150 S BAY RD,CICERO,NY,13039,10/31/2016,1/5/2017,"(43.065629, -76.168033)","6150 S BAY RD
CICERO, NY 13039
(43.161326261000056, -76.09711047099995)"
NORTH SYRACUSE CENTRAL SCHOOL,NORTH SYRACUSE JHS,Onondaga,Public School,165,No,51,0,0,114,Yes,10/20/2016,136,25,Yes,Yes,1/19/2017,http://nscsd.org,420303060010.00,5353 W TAFT RD,NO SYRACUSE,NY,13212,10/31/2016,1/19/2017,"(43.065629, -76.168033)","5353 W TAFT RD
NO SYRACUSE, NY 13212
(43.12267716300005, -76.14361176999995)"
NORTH SYRACUSE CENTRAL SCHOOL,ROXBORO ROAD MIDDLE SCHOOL,Onondaga,Public School,100,No,41,0,0,59,Yes,9/28/2016,96,4,Yes,Yes,12/16/2016,http://nscsd.org,420303060011.00,300 BERNARD ST,MATTYDALE,NY,13211,10/31/2016,12/19/2016,"(43.065629, -76.168033)","300 BERNARD ST
MATTYDALE, NY 13211
(43.10049237000004, -76.14866855999998)"
NORTH SYRACUSE CENTRAL SCHOOL,CICERO-NO SYRACUSE H S,Onondaga,Public School,211,No,44,0,0,163,Yes,10/24/2016,186,75,Yes,Yes,1/4/2017,http://nscsd.org,420303060014.00,6002 RT 31,CICERO,NY,13039,11/29/2016,1/6/2017,"(43.065629, -76.168033)","6002 RT
CICERO, NY 13039
(43.158592277000025, -76.10027955299995)"
NORTH SYRACUSE CENTRAL SCHOOL,MAIN ST EARLY EDUCATION PROGRAM,Onondaga,Public School,30,No,8,0,0,22,Yes,9/27/2016,8,0,No,Yes,3/16/2016,http://nscsd.org,420303060015.00,205 South Main Street,NO SYRACUSE,NY,13212,10/31/2016,10/31/2016,"(43.065629, -76.168033)","205 South Main Street
NO SYRACUSE, NY 13212
(43.13419263600008, -76.13027107099998)"
EAST SYRACUSE-MINOA CENTRAL SCHOOL,PARK HILL SCHOOL,Onondaga,Public School,43,No,13,0,0,30,Yes,9/20/2016,37,6,Yes,Yes,10/13/2016,http://esmschools.org,420401060001.00,303 ROBY AVE,EAST SYRACUSE,NY,13057,11/7/2016,11/7/2016,"(43.065629, -76.168033)","303 ROBY AVE EAST
SYRACUSE, NY 13057
(43.07357458200005, -76.08141597599996)"
