School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
BEACON CITY SCHOOLS,BEACON HS,Dutchess,Public School,,No,,,,,No,,,,No,No,,,130200010005,101 MATTEAWAN RD,BEACON,NY,12508,,,"(41.686216, -73.840468)","101 MATTEAWAN RD
BEACON, NY 12508
(41.51349701700008, -73.96210328299998)"
BOCES No District Name,SULLIVAN BOCES,Sullivan,BOCES School,,No,,,,,No,,,,No,No,,,599000000000,6 WIERK AVE,LIBERTY,NY,12754,,,"(41.705166, -74.711705)","6 WIERK AVE
LIBERTY, NY 12754
(41.79573683500007, -74.74729770899995)"
CROTON HARMON U F S,CROTON HARMON S H S,Westchester,Public School,,No,,,,,No,,,,No,No,,,660202030003,OLD POST RD,CROTON,NY,10520,,,"(41.039278, -73.805386)","OLD POST RD CROTON, NY 10520
(41.20248298000007, -73.88285166599997)"
LAWRENCE UNION FREE SCHOOL,2 SCHOOL,Nassau,Public School,62,No,22,0,0,40,Yes,11/02/2016,58,4,Yes,Yes,11/02/2016,http://lawrence.org,280215030002,DONOHUE AVE,INWOOD,NY,11696,11/14/2016,11/14/2016,"(40.715749, -73.601185)","DONOHUE AVE INWOOD, NY 11696
"
MONROE WOODBURY CENTRAL SCHOOL,PINE TREE ELEM SCHOOL,Orange,Public School,,No,,,,,No,,121,41,Yes,Yes,10/28/2016,,441201060001,156 PINE TREE RD,MONROE,NY,10950,,11/14/2016,"(41.422459, -74.241929)","156 PINE TREE RD
MONROE, NY 10950
(41.30659496700008, -74.17667570999998)"
MOUNT VERNON CITY SCHOOLS,HAMILTON SCHOOL,Westchester,Public School,,No,,,,,No,,,,No,No,,,660900010004,20 OAK ST,MT VERNON,NY,10550,,,"(41.039278, -73.805386)","20 OAK ST MT
VERNON, NY 10550
(40.91341990900003, -73.84542235599997)"
OWEGO APALACHIN CENTRAL SCHOOL,OWEGO APALACHIN MIDDLE SCHOOL,Tioga,Public School,,No,,,,,No,,116,4,Yes,Yes,12/28/2016,,600601060006,ELM ST,OWEGO,NY,13827,,12/29/2016,"(42.120252, -76.29595)","ELM ST OWEGO, NY 13827
(42.105522044000054, -76.26605726199995)"
UNADILLA VALLEY CENTRAL SCHOOLS,UNADILLA VALLEY MIDDLE SCHOOL,Chenango,Public School,93,No,6,0,0,93,Yes,09/24/2016,,,No,No,,http://www.uvstorm.org,081003040007,,,,,12/02/2016,,"(42.481798, -75.570013)",
VICTOR CENTRAL SCHOOL,VICTOR INTERMEDIATE SCHOOL,Ontario,Public School,167,No,0,0,0,167,Yes,12/02/2016,142,25,Yes,Yes,12/02/2016,http://victorschools.org,431701060001,VICTOR INTERMEDIATE SCHOOL,VICTOR,NY,,01/03/2017,12/02/2016,"(42.894571, -77.252045)","VICTOR INTERMEDIATE SCHOOL VICTOR, NY
"
BALDWIN UNION FREE SCHOOL,PLAZA ELEM SCHOOL,Nassau,Public School,16,No,12,0,0,0,Yes,07/07/2016,12,4,Yes,Yes,07/07/2016,http://www.baldwinschools.org/,280210030007,W SEAMAN AVE,BALDWIN,NY,11510,11/03/2016,11/07/2016,"(40.715749, -73.601185)","W SEAMAN AVE BALDWIN, NY 11510
(40.663060906000055, -73.61031803299994)"
DOBBS FERRY UNION FREE SCHOOL,DOBBS FERRY H S,Westchester,Public School,105,No,25,0,0,80,Yes,10/22/2016,93,12,Yes,Yes,11/11/2016,http://www.dfsd.org,660403030002,BROADWAY,DOBBS FERRY,NY,10522,11/15/2016,11/15/2016,"(41.039278, -73.805386)","BROADWAY DOBBS FERRY, NY 10522
(41.01476422400003, -73.87097224099995)"
BROCKPORT CENTRAL SCHOOL,GINTHER ELEM SCHOOL,Monroe,Public School,74,No,74,0,0,0,Yes,05/21/2016,74,0,Yes,Yes,06/22/2016,http://www.brockport.k12.ny.us/district.cfm?subpage=29375,261801060002,40 ALLEN ST,BROCKPORT,NY,14420,11/10/2016,11/09/2016,"(43.161748, -77.620143)","40 ALLEN ST
BROCKPORT, NY 14420
(43.207029169000066, -77.94552806899998)"
EAST IRONDEQUOIT CENTRAL SCHOOL,HELENDALE RD PRIMARY SCHOOL,Monroe,Public School,96,No,83,0,0,0,Yes,04/25/2016,83,13,Yes,Yes,04/25/2016,http://www.eastiron.org/schools/,260801060011,220 HELENDALE RD,ROCHESTER,NY,14609,11/14/2016,11/14/2016,"(43.161748, -77.620143)","220 HELENDALE RD
ROCHESTER, NY 14609
(43.17387090100004, -77.54471267699995)"
DEER PARK UNION FREE SCHOOL,DEER PARK HIGH SCHOOL,Suffolk,Public School,25,No,18,0,0,0,Yes,08/16/2016,18,7,Yes,Yes,08/16/2016,http://deerparkschools.org,580107030007,1 FALCON PLACE,DEER PARK,NY,11729,11/08/2016,11/08/2016,"(40.820237, -73.119032)","1 FALCON PLACE DEER PARK
NY 11729
(40.764035431000025, -73.33631492499995)"
EAST AURORA UNION FREE SCHOOL,EAST AURORA MS,Erie,Public School,132,No,0,0,0,132,Yes,09/23/2016,86,46,Yes,Yes,11/02/2016,http://eastauroraschools.org,140301030004,430 MAIN ST,EAST AURORA,NY,14052,11/15/2016,11/14/2016,"(42.888143, -78.795544)","430 MAIN ST EAST
AURORA, NY 14052
(42.76807185500007, -78.61874549799995)"
FILLMORE CENTRAL SCHOOL DISTRICT,FILLMORE HIGH SCHOOL,Allegany,Public School,26,No,26,0,0,26,Yes,09/30/2016,22,4,Yes,Yes,12/09/2016,http://Fillmorecsd.org,022001040001,104 WEST MAIN STREET,FILLMORE,NY,14735,12/01/2016,12/13/2016,"(42.226801, -78.020567)","104 WEST MAIN STREET
FILLMORE, NY 14735
(42.466252068000074, -78.11880913199997)"
CORNING PAINTED POST AREA SCHOOL DISTRICT,FREDERICK CARDER ELEM SCHOOL,Steuben,Public School,96,No,0,0,0,96,Yes,10/25/2016,76,20,Yes,Yes,12/11/2016,http://www.corningareaschools.com,571000010007,289 STATE ST,CORNING,NY,14830,11/03/2016,12/19/2016,"(42.270053, -77.324618)","289 STATE ST
CORNING, NY 14830
(42.136509757000056, -77.06322486899995)"
ADIRONDACK CENT SCH-BOONVILLE,BOONVILLE ELEMENTARY SCHOOL,Oneida,Public School,25,No,8,0,0,17,Yes,11/01/2016,8,0,No,Yes,06/30/2016,http://www.adirondackcsd.org,410401060004,110 FORD ST,BOONVILLE,NY,13309,11/04/2016,11/04/2016,"(43.149482, -75.361773)","110 FORD ST
BOONVILLE, NY 13309
(43.48297160900006, -75.33677804399997)"
