Active Date,COUNTY,SED CODE,LEGAL NAME,INSTITUTION TYPE CODE,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE CODE,INSTITUTION SUB TYPE DESCRIPTION,NEEDS RESOURCE CODE,NEEDS RESOURCE DESCRIPTION,GRADE ORGANIZATION CODE,GRADE ORGANIZATION DESCRIPTION,COMMUNITY TYPE CODE,COMMUNITY TYPE DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP,SALUTATION,CEO FIRST NAME,CEO LAST NAME,CEO PHONE,CEO EMAIL
7/1/1980,CAYUGA,050100010002,CASEY PARK ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,74,101 PULASKI ST,AUBURN,NY,13021,MR.,RONALD,GORNEY,3152558764,ronald_gorney@auburn.cnyric.org
7/1/1980,CAYUGA,050100010004,GENESEE STREET ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,74,244 GENESEE ST,AUBURN,NY,13021,MS.,STACEY,CUMMINGS,3152558644,stacey_cummings@auburn.cnyric.org
7/1/1980,CAYUGA,050100010005,HERMAN AVENUE ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,74,2 N HERMAN AVE,AUBURN,NY,13021,MS.,CYNTHIA,LATTIMORE,3152558684,cynthia_lattimore@auburn.cnyric.org
7/1/1980,CAYUGA,050100010007,OWASCO ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,74,66 LETCHWORTH ST,AUBURN,NY,13021,MS.,ABIGAIL,ADAMS-SNELL,3152558724,abigail_adams@auburn.cnyric.org
7/1/1980,CAYUGA,050100010008,WILLIAM H SEWARD ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,74,52 METCALF DR,AUBURN,NY,13021,MR.,ROBERT,MONTGOMERY,3152558604,robert_montgomery@auburn.cnyric.org
7/1/1980,CAYUGA,050100010009,AUBURN JUNIOR HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,3,Junior High School,74,74,191 FRANKLIN ST,AUBURN,NY,13021,MR.,DAVID,OLIVER,3152558484,david_oliver@auburn.cnyric.org
7/1/1980,CAYUGA,050100010013,AUBURN HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,5,Senior High,74,74,250 LAKE AVE,AUBURN,NY,13021,MR.,BRIAN,MORGAN,3152558305,brian_morgan@auburn.cnyric.org
7/1/1980,CAYUGA,050301040002,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,5,AVERAGE NEEDS,4,Junior Senior School,77,77,PO BOX 3000,WEEDSPORT,NY,13166,MR.,BRETT,FINGLAND,3158346652,finglandb@weedsport.org
7/1/1980,CAYUGA,050301040003,WEEDSPORT ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,5,AVERAGE NEEDS,1,Elementary,77,77,PO BOX 3000,WEEDSPORT,NY,13166,MS.,MELINDA,ERVAY,3158346685,ervaym@weedsport.org
7/1/1980,CAYUGA,050401040001,CATO-MERIDIAN ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,5,AVERAGE NEEDS,1,Elementary,77,77,PO BOX 100,CATO,NY,13033,MR.,ROBERT,WREN,3156263320,rwren@cm.cnyric.org
