sw,tier,Gender,Ethnicity,IEP,ELL,enrolled15,absences15,presences15,enrolled16,absences16,presences16
1,Elementary,Female,Black,No,0,1624,204,1420,2997,300,2697
1,Elementary,Female,Black,No,1,208,30,178,453,50,403
1,Elementary,Female,Black,Yes,0,293,42,251,555,72,483
1,Elementary,Female,Black,Yes,1,9,0,9,14,0,14
1,Elementary,Female,Hispanic,No,0,259,26,233,499,43,456
1,Elementary,Female,Hispanic,No,1,78,16,62,120,20,100
1,Elementary,Female,Hispanic,Yes,0,53,10,43,99,3,96
1,Elementary,Female,Hispanic,Yes,1,25,11,14,54,5,49
1,Elementary,Female,Other,No,0,386,41,345,833,72,761
1,Elementary,Female,Other,No,1,278,31,247,566,47,519
1,Elementary,Female,Other,Yes,0,62,9,53,142,11,131
1,Elementary,Female,Other,Yes,1,9,1,8,26,5,21
1,Elementary,Female,White,No,0,831,55,776,1534,117,1417
1,Elementary,Female,White,No,1,80,15,65,172,21,151
1,Elementary,Female,White,Yes,0,221,17,204,407,31,376
1,Elementary,Female,White,Yes,1,5,0,5,8,0,8
1,Elementary,Male,Black,No,0,1487,199,1288,2785,268,2517
1,Elementary,Male,Black,No,1,211,40,171,422,56,366
1,Elementary,Male,Black,Yes,0,609,93,516,1262,140,1122
1,Elementary,Male,Black,Yes,1,31,5,26,56,10,46
1,Elementary,Male,Hispanic,No,0,236,20,216,492,62,430
1,Elementary,Male,Hispanic,No,1,75,14,61,156,14,142
1,Elementary,Male,Hispanic,Yes,0,86,9,77,198,24,174
1,Elementary,Male,Hispanic,Yes,1,36,5,31,58,7,51
1,Elementary,Male,Other,No,0,349,41,308,756,69,687
1,Elementary,Male,Other,No,1,313,45,268,666,46,620
1,Elementary,Male,Other,Yes,0,125,18,107,278,33,245
1,Elementary,Male,Other,Yes,1,19,3,16,38,5,33
1,Elementary,Male,White,No,0,699,74,625,1271,117,1154
1,Elementary,Male,White,No,1,83,3,80,204,23,181
1,Elementary,Male,White,Yes,0,409,41,368,748,47,701
1,Elementary,Male,White,Yes,1,9,2,7,22,0,22
1,High,Female,Black,No,0,814,74,740,1599,113,1486
1,High,Female,Black,No,1,122,11,111,271,4,267
1,High,Female,Black,Yes,0,170,12,158,344,24,320
1,High,Female,Black,Yes,1,12,2,10,26,2,24
1,High,Female,Hispanic,No,0,130,10,120,251,14,237
1,High,Female,Hispanic,No,1,79,11,68,167,17,150
1,High,Female,Hispanic,Yes,0,25,3,22,36,4,32
1,High,Female,Hispanic,Yes,1,22,2,20,36,9,27
1,High,Female,Other,No,0,80,5,75,144,10,134
1,High,Female,Other,No,1,190,18,172,369,16,353
1,High,Female,Other,Yes,0,11,2,9,20,0,20
1,High,Female,Other,Yes,1,4,1,3,10,0,10
1,High,Female,White,No,0,382,12,370,732,28,704
1,High,Female,White,No,1,47,7,40,90,10,80
1,High,Female,White,Yes,0,100,7,93,164,9,155
1,High,Male,Black,No,0,709,66,643,1247,72,1175
1,High,Male,Black,No,1,128,4,124,253,4,249
1,High,Male,Black,Yes,0,291,38,253,544,56,488
1,High,Male,Black,Yes,1,15,1,14,28,0,28
1,High,Male,Hispanic,No,0,88,7,81,150,12,138
1,High,Male,Hispanic,No,1,99,12,87,179,30,149
1,High,Male,Hispanic,Yes,0,34,2,32,49,4,45
1,High,Male,Hispanic,Yes,1,38,6,32,76,13,63
1,High,Male,Other,No,0,55,2,53,130,6,124
1,High,Male,Other,No,1,201,15,186,373,29,344
1,High,Male,Other,Yes,0,31,2,29,56,3,53
1,High,Male,Other,Yes,1,5,0,5,15,0,15
1,High,Male,White,No,0,294,10,284,607,23,584
1,High,Male,White,No,1,52,3,49,90,3,87
1,High,Male,White,Yes,0,131,15,116,221,12,209
1,High,Male,White,Yes,1,2,0,2,6,2,4
1,Middle,Female,Black,No,0,468,9,459,1301,38,1263
1,Middle,Female,Black,No,1,69,2,67,211,2,209
1,Middle,Female,Black,Yes,0,85,4,81,215,11,204
1,Middle,Female,Black,Yes,1,5,2,3,22,0,22
1,Middle,Female,Hispanic,No,0,83,3,80,198,6,192
1,Middle,Female,Hispanic,No,1,42,1,41,97,4,93
1,Middle,Female,Hispanic,Yes,0,12,1,11,37,2,35
1,Middle,Female,Hispanic,Yes,1,10,1,9,32,1,31
1,Middle,Female,Other,No,0,70,2,68,143,0,143
1,Middle,Female,Other,No,1,100,2,98,240,2,238
1,Middle,Female,Other,Yes,0,15,1,14,26,0,26
1,Middle,Female,Other,Yes,1,2,0,2,2,0,2
1,Middle,Female,White,No,0,296,4,292,611,16,595
1,Middle,Female,White,No,1,27,1,26,66,0,66
1,Middle,Female,White,Yes,0,60,1,59,141,2,139
1,Middle,Female,White,Yes,1,2,1,1,4,0,4
1,Middle,Male,Black,No,0,418,12,406,1176,32,1144
1,Middle,Male,Black,No,1,67,3,64,210,2,208
1,Middle,Male,Black,Yes,0,214,3,211,503,13,490
1,Middle,Male,Black,Yes,1,14,0,14,24,0,24
1,Middle,Male,Hispanic,No,0,59,4,55,187,7,180
1,Middle,Male,Hispanic,No,1,39,3,36,68,0,68
1,Middle,Male,Hispanic,Yes,0,36,2,34,82,1,81
1,Middle,Male,Hispanic,Yes,1,16,0,16,56,1,55
1,Middle,Male,Other,No,0,67,2,65,162,5,157
1,Middle,Male,Other,No,1,111,5,106,240,1,239
1,Middle,Male,Other,Yes,0,18,0,18,39,3,36
1,Middle,Male,Other,Yes,1,10,0,10,28,1,27
1,Middle,Male,White,No,0,306,4,302,579,10,569
1,Middle,Male,White,No,1,29,1,28,92,4,88
1,Middle,Male,White,Yes,0,118,2,116,316,11,305
1,Middle,Male,White,Yes,1,3,0,3,2,0,2
1,Other,Female,Black,No,0,486,56,430,1087,103,984
1,Other,Female,Black,No,1,22,2,20,54,8,46
1,Other,Female,Black,Yes,0,75,13,62,143,16,127
1,Other,Female,Black,Yes,1,2,0,2,4,0,4
1,Other,Female,Hispanic,No,0,159,16,143,328,38,290
1,Other,Female,Hispanic,No,1,183,32,151,370,66,304
1,Other,Female,Hispanic,Yes,0,17,2,15,42,10,32
1,Other,Female,Hispanic,Yes,1,41,9,32,82,19,63
1,Other,Female,Other,No,0,57,8,49,158,14,144
1,Other,Female,Other,No,1,33,0,33,82,4,78
